:time rate [m^3/s]
TIME_UNITS h
DATA_UNITS m^3/s	
0.d0  -2.77777778d-4
1.d0  -2.77777778d-4
2.d0  -2.77777778d-4
3.d0  -2.77777778d-4
4.d0  -2.77777778d-4
5.d0  -2.77777778d-4
6.d0  -2.77777778d-4
7.d0  -2.77777778d-4
8.d0  -2.77777778d-4
9.d0  -2.77777778d-4
10.d0  -2.77777778d-4
11.d0  -2.77777778d-4
12.d0  -2.77777778d-4
13.d0  -2.77777778d-4
14.d0  -2.77777778d-4
15.d0  -2.77777778d-4
16.d0  -2.77777778d-4
17.d0  -2.77777778d-4
18.d0  -2.77777778d-4
19.d0  -2.77777778d-4
20.d0  -2.77777778d-4
21.d0  -2.77777778d-4
22.d0  -2.77777778d-4
23.d0  -2.77777778d-4
24.d0  -2.77777778d-4
25.d0  -2.77777778d-4
26.d0  -2.77777778d-4
27.d0  -2.77777778d-4
28.d0  -2.77777778d-4
29.d0  -2.77777778d-4
30.d0  -2.77777778d-4
31.d0  -2.77777778d-4
32.d0  -2.77777778d-4
33.d0  -2.77777778d-4
34.d0  -2.77777778d-4
35.d0  -2.77777778d-4
36.d0  -2.77777778d-4
37.d0  -2.77777778d-4
38.d0  -2.77777778d-4
39.d0  -2.77777778d-4
40.d0  -2.77777778d-4
41.d0  -2.77777778d-4
42.d0  -2.77777778d-4
43.d0  -2.77777778d-4
44.d0  -2.77777778d-4
45.d0  -2.77777778d-4
46.d0  -2.77777778d-4
47.d0  -2.77777778d-4
48.d0  -2.77777778d-4
49.d0  -2.77777778d-4
50.d0  -2.77777778d-4
51.d0  -2.77777778d-4
52.d0  -2.77777778d-4
53.d0  -2.77777778d-4
54.d0  -2.77777778d-4
55.d0  -2.77777778d-4
56.d0  -2.77777778d-4
57.d0  -2.77777778d-4
58.d0  -2.77777778d-4
59.d0  -2.77777778d-4
60.d0  -2.77777778d-4
61.d0  -2.77777778d-4
62.d0  -2.77777778d-4
63.d0  -2.77777778d-4
64.d0  -2.77777778d-4
65.d0  -2.77777778d-4
66.d0  -2.77777778d-4
67.d0  -2.77777778d-4
68.d0  -2.77777778d-4
69.d0  -2.77777778d-4
70.d0  -2.77777778d-4
71.d0  -2.77777778d-4
72.d0  -2.77777778d-4
73.d0  -2.77777778d-4
74.d0  -2.77777778d-4
75.d0  -2.77777778d-4
76.d0  -2.77777778d-4
77.d0  -2.77777778d-4
78.d0  -2.77777778d-4
79.d0  -2.77777778d-4
80.d0  -2.77777778d-4
81.d0  -2.77777778d-4
82.d0  -2.77777778d-4
83.d0  -2.77777778d-4
84.d0  -2.77777778d-4
85.d0  -2.77777778d-4
86.d0  -2.77777778d-4
87.d0  -2.77777778d-4
88.d0  -2.77777778d-4
89.d0  -2.77777778d-4
90.d0  -2.77777778d-4
91.d0  -2.77777778d-4
92.d0  -2.77777778d-4
93.d0  -2.77777778d-4
94.d0  -2.77777778d-4
95.d0  -2.77777778d-4
96.d0  -2.77777778d-4
97.d0  -2.77777778d-4
98.d0  -2.77777778d-4
99.d0  -2.77777778d-4
100.d0  -2.77777778d-4
101.d0  -2.77777778d-4
102.d0  -2.77777778d-4
103.d0  -2.77777778d-4
104.d0  -2.77777778d-4
105.d0  -2.77777778d-4
106.d0  -2.77777778d-4
107.d0  -2.77777778d-4
108.d0  -2.77777778d-4
109.d0  -2.77777778d-4
110.d0  -2.77777778d-4
111.d0  -2.77777778d-4
112.d0  -2.77777778d-4
113.d0  -2.77777778d-4
114.d0  -2.77777778d-4
115.d0  -2.77777778d-4
116.d0  -2.77777778d-4
117.d0  -2.77777778d-4
118.d0  -2.77777778d-4
119.d0  -2.77777778d-4
120.d0  -2.77777778d-4
121.d0  -2.77777778d-4
122.d0  -2.77777778d-4
123.d0  -2.77777778d-4
